,UTS Depot,Bus,Route,Run,Operator,Unscheduled PO ,Scheduled PO,Actual PO,PO Diff,PO Depot ,Scheduled PI,Actual PI,PI diff,Depot PI
1729,EN,7138,,B17-766,43986,,2024-01-06 15:50:00,2024-01-06 15:19:00,-00:30,EN,2024-01-06 21:08:00,2024-01-06 15:25:00,-05:42,EN
1734,EN,7139,Q56,Q24-404,825008,,2024-01-06 09:53:00,2024-01-06 09:59:00,+00:06,EN,2024-01-06 14:00:00,2024-01-06 14:04:00,+00:04,EN
1735,EN,7139,Q24,B15-150,47939,,2024-01-06 14:48:00,2024-01-06 14:33:00,-00:14,EN,2024-01-06 16:53:00,2024-01-06 17:02:00,+00:09,EN
1736,EN,7139,B14,B14-717,47914,,2024-01-06 17:47:00,2024-01-06 17:15:00,-00:31,EN,2024-01-06 22:22:00,2024-01-06 22:48:00,+00:26,EN
1738,EN,7141,B25,B15-118,45993,,2024-01-06 10:09:00,2024-01-06 10:19:00,+00:10,EN,2024-01-06 19:07:00,2024-01-06 19:14:00,+00:07,EN
1739,EN,7141,B25,B15-145,428090,,2024-01-06 19:51:00,2024-01-06 20:00:00,+00:09,EN,2024-01-06 23:00:00,2024-01-06 23:04:00,+00:04,EN
1740,EN,7142,,Q24-411,40346,,2024-01-06 07:59:00,,,,2024-01-06 10:13:00,,,
1741,EN,7143,Q56,Q56-451,832182,,2024-01-06 01:38:00,2024-01-06 01:41:00,+00:03,EN,2024-01-06 06:04:00,2024-01-06 22:05:00,+16:01,EN
1742,EN,7143,,Q56-451,832182,,2024-01-06 06:46:00,,,,2024-01-06 21:59:00,,,
1743,EN,7144,,B15-115,36813,,2024-01-06 05:24:00,2024-01-06 01:13:00,-04:10,EN,2024-01-06 17:39:00,2024-01-06 18:10:00,+00:31,EN
1744,EN,7145,,B15-120,30843,,2024-01-06 10:45:00,2024-01-06 00:17:00,-10:27,EN,2024-01-06 19:23:00,2024-01-06 18:34:00,-00:48,EN
1745,EN,7145,,B15-120,30843,,2024-01-06 06:08:00,,,,2024-01-06 09:46:00,,,
1746,EN,7147,,B65-856,44532,,2024-01-06 06:28:00,2024-01-06 23:17:00,-07:10,EN,2024-01-06 10:53:00,2024-01-07 10:51:00,-00:01,EN
1747,EN,7147,Q56,B15-128,45932,,2024-01-06 10:56:00,2024-01-06 10:59:00,+00:03,EN,2024-01-06 13:00:00,2024-01-06 12:59:00,-00:00,EN
1748,EN,7147,B14,B17-761,561075,,2024-01-06 12:59:00,2024-01-06 13:07:00,+00:08,EN,2024-01-06 16:11:00,2024-01-06 16:11:00,+00:00,EN
1749,EN,7147,B12,B15-127,248383,,2024-01-06 16:15:00,2024-01-06 16:21:00,+00:06,EN,2024-01-06 17:59:00,2024-01-07 02:38:00,+08:39,EN
1750,EN,7147,,B15-127,248383,,2024-01-06 19:19:00,,,,2024-01-06 22:13:00,,,
1751,EN,7147,,B15-147,598103,,2024-01-06 22:34:00,,,,2024-01-07 01:42:00,,,
1752,EN,7148,,B82-612,37061,,2024-01-06 05:52:00,2024-01-06 23:59:00,-05:52,EN,2024-01-06 09:08:00,2024-01-07 09:26:00,+00:18,EN
1753,EN,7148,B25,B25-202,46457,,2024-01-06 09:22:00,2024-01-06 09:37:00,+00:15,EN,2024-01-06 18:16:00,2024-01-06 21:52:00,+03:36,EN
1754,EN,7148,,B25-229,45351,,2024-01-06 18:59:00,,,,2024-01-06 21:50:00,,,
1756,EN,7149,B17,B17-763,44444,,2024-01-06 08:36:00,2024-01-06 08:33:00,-00:02,EN,2024-01-06 13:15:00,2024-01-06 13:05:00,-00:09,EN
1757,EN,7149,B83,Q24-418,242048,,2024-01-06 13:18:00,2024-01-06 13:21:00,+00:03,EN,2024-01-06 16:14:00,2024-01-06 16:13:00,-00:00,EN
1758,EN,7149,,B65-871,46440,,2024-01-06 16:20:00,2024-01-06 16:29:00,+00:09,EN,2024-01-06 20:03:00,2024-01-07 01:30:00,+05:27,EN
1759,EN,7149,,B65-871,46440,,2024-01-06 21:14:00,,,,2024-01-07 01:12:00,,,
1760,EN,7152,B15,B15-101,39050,,2024-01-06 01:25:00,2024-01-06 01:37:00,+00:12,EN,2024-01-06 04:06:00,2024-01-06 17:44:00,+13:38,EN
1761,EN,7152,,B15-101,39050,,2024-01-06 04:46:00,,,,2024-01-06 11:04:00,,,
1762,EN,7152,,B15-125,43079,,2024-01-06 11:57:00,,,,2024-01-06 17:34:00,,,
1764,EN,7154,Q24,B15-123,426090,,2024-01-06 07:14:00,2024-01-06 07:17:00,+00:03,EN_Lot_1,2024-01-07 00:09:00,2024-01-07 00:11:00,+00:02,EN
1765,EN,7158,,B15-113,44560,,2024-01-06 04:54:00,,,,2024-01-06 16:14:00,,,
1766,EN,7158,,B14-716,366153,,2024-01-06 16:23:00,,,,2024-01-06 22:08:00,,,
1767,EN,7158,,B14-716,366153,,2024-01-06 23:00:00,,,,2024-01-07 01:38:00,,,
1768,EN,7159,,B83-302,36593,,2024-01-06 11:18:00,,,,2024-01-06 21:12:00,,,
1769,EN,7185,,B82-623,124025,,2024-01-06 12:19:00,,,,2024-01-06 22:21:00,,,
1770,EN,7193,,B14-706,595027,,2024-01-06 12:30:00,2024-01-06 12:35:00,+00:05,EN,2024-01-06 16:45:00,2024-01-06 16:51:00,+00:06,EN
1771,EN,7193,B83,B83-313,46184,,2024-01-06 16:48:00,2024-01-06 17:03:00,+00:15,EN,2024-01-06 19:44:00,2024-01-06 20:37:00,+00:53,EN
1774,EN,7194,,Q56-452,32207,,2024-01-06 06:23:00,,,,2024-01-06 12:07:00,,,
1775,EN,7194,B45,B45-805,412009,,2024-01-06 10:17:00,2024-01-06 10:25:00,+00:08,EN,2024-01-06 15:57:00,2024-01-06 16:07:00,+00:10,EN
1776,EN,7194,,B83-306,30306,,2024-01-06 16:08:00,2024-01-06 16:17:00,+00:09,EN,2024-01-06 19:02:00,2024-01-06 18:46:00,-00:15,EN
1777,EN,7195,,B17-754,360038,,2024-01-06 10:44:00,2024-01-06 00:49:00,-09:54,EN,2024-01-06 14:03:00,2024-01-06 13:58:00,-00:04,EN
1778,EN,7195,,B17-754,360038,,2024-01-06 05:04:00,,,,2024-01-06 10:04:00,,,
1779,EN,7195,Q56,Q56-458,241007,,2024-01-06 14:08:00,2024-01-06 14:10:00,+00:02,EN,2024-01-06 18:27:00,2024-01-06 16:03:00,-02:23,EN
1781,EN,7196,B15,B15-104,21058,,2024-01-06 02:30:00,2024-01-06 02:41:00,+00:11,EN,2024-01-06 05:15:00,2024-01-06 15:25:00,+10:10,EN
1782,EN,7196,Q24,B15-104,21058,,2024-01-06 05:57:00,2024-01-06 15:27:00,+09:30,EN,2024-01-06 15:47:00,2024-01-06 16:14:00,+00:27,EN
1783,EN,7196,Q24,B82-630,887378,,2024-01-06 16:24:00,2024-01-06 16:31:00,+00:07,EN,2024-01-06 20:13:00,2024-01-07 00:07:00,+03:54,EN
1784,EN,7196,,B45-810,179025,,2024-01-06 19:57:00,,,,2024-01-06 21:41:00,,,
1786,EN,7197,,B82-611,753082,,2024-01-06 05:46:00,2024-01-06 06:00:00,+00:14,EN,2024-01-06 09:00:00,2024-01-07 01:14:00,+16:14,EN
1787,EN,7197,,B82-617,701028,,2024-01-06 11:26:00,,,,2024-01-06 21:25:00,,,
1788,EN,7197,,B15-140,981057,,2024-01-06 21:43:00,,,,2024-01-07 00:47:00,,,
1789,EN,7685,,B83-303,44019,,2024-01-06 07:20:00,2024-01-06 07:01:00,-00:18,EN_Lot_1,2024-01-06 11:41:00,2024-01-06 11:37:00,-00:03,EN
1791,EN,7685,Q56,Q56-462,753156,,2024-01-06 13:32:00,2024-01-06 13:39:00,+00:07,EN,2024-01-06 19:57:00,2024-01-06 17:39:00,-02:17,EN
1793,EN,7685,,B82-647,743180,,2024-01-06 19:37:00,,,,2024-01-07 01:23:00,,,
1795,EN,7686,Q24,Q24-408,741086,,2024-01-06 07:11:00,2024-01-06 07:18:00,+00:07,EN_Lot_1,2024-01-06 11:53:00,2024-01-06 11:26:00,-00:26,EN
1796,EN,7686,,B82-630,887378,,2024-01-06 12:06:00,2024-01-06 11:59:00,-00:06,EN,2024-01-06 22:14:00,2024-01-06 22:30:00,+00:16,EN
1797,EN,7687,B25,B15-110,619139,,2024-01-06 04:09:00,2024-01-06 04:04:00,-00:04,EN,2024-01-06 09:14:00,2024-01-06 09:20:00,+00:06,EN
1798,EN,7687,B65,B65-861,121034,,2024-01-06 09:52:00,2024-01-06 09:55:00,+00:03,EN,2024-01-06 13:11:00,2024-01-06 13:15:00,+00:04,EN
1799,EN,7687,,B14-705,578011,,2024-01-06 13:15:00,2024-01-06 13:36:00,+00:21,EN,2024-01-06 16:31:00,2024-01-06 16:30:00,-00:00,EN
1800,EN,7687,B65,B65-872,45914,,2024-01-06 16:38:00,2024-01-06 16:41:00,+00:03,EN,2024-01-06 21:24:00,2024-01-07 02:53:00,+05:29,EN
1801,EN,7687,,B65-872,45914,,2024-01-06 22:22:00,,,,2024-01-07 01:57:00,,,
1804,EN,7688,,B82-609,592958,,2024-01-06 05:31:00,,,,2024-01-06 21:56:00,,,
1806,EN,7689,Q24,Q24-413,46599,,2024-01-06 15:29:00,2024-01-06 15:30:00,+00:01,EN,2024-01-06 20:30:00,2024-01-06 17:47:00,-02:42,EN
1807,EN,7689,Q24,B25-233,39412,,2024-01-06 20:18:00,2024-01-06 17:49:00,-02:28,EN,2024-01-07 00:01:00,2024-01-07 00:30:00,+00:29,EN
1824,EN,7690,,B82-607,45246,,2024-01-06 08:44:00,2024-01-06 23:25:00,-09:18,EN_Lot_1,2024-01-06 12:18:00,2024-01-07 12:16:00,-00:01,EN
1825,EN,7690,,B82-607,45246,,2024-01-06 04:54:00,,,,2024-01-06 07:57:00,,,
1826,EN,7690,B45,B45-803,778898,,2024-01-06 12:44:00,2024-01-06 12:41:00,-00:02,EN,2024-01-06 14:42:00,2024-01-06 14:41:00,-00:00,EN
1827,EN,7690,B82,B82-643,176103,,2024-01-06 14:55:00,2024-01-06 14:54:00,-00:00,EN,2024-01-07 00:20:00,2024-01-06 16:37:00,-07:42,UP
1829,EN,7691,,B14-702,43069,,2024-01-06 04:42:00,,,,2024-01-06 08:13:00,,,
1830,EN,7691,,B14-702,43069,,2024-01-06 08:59:00,,,,2024-01-06 13:16:00,,,
1831,EN,7691,B17,B17-768,558024,,2024-01-06 13:17:00,2024-01-06 13:21:00,+00:04,EN,2024-01-06 17:54:00,2024-01-06 17:46:00,-00:07,EN
1832,EN,7691,B17,B17-769,567066,,2024-01-06 17:26:00,2024-01-06 17:57:00,+00:31,EN,2024-01-06 22:45:00,2024-01-06 23:03:00,+00:18,EN
1834,EN,7693,B25,B15-137,753168,,2024-01-06 12:21:00,2024-01-06 12:24:00,+00:03,EN,2024-01-06 18:35:00,2024-01-06 19:06:00,+00:31,EN
1836,EN,7697,Q24,Q24-413,46599,,2024-01-06 11:24:00,2024-01-06 11:28:00,+00:04,EN,2024-01-06 15:43:00,2024-01-06 15:52:00,+00:09,EN
1837,EN,7697,Q24,Q24-425,619167,,2024-01-06 15:59:00,2024-01-06 16:05:00,+00:06,EN,2024-01-06 21:27:00,2024-01-06 21:50:00,+00:23,EN
1839,EN,7698,B82,B82-633,40331,,2024-01-06 13:05:00,2024-01-06 13:11:00,+00:06,EN,2024-01-06 22:46:00,2024-01-06 14:48:00,-07:57,UP
1842,EN,7734,B82,B82-620,127040,,2024-01-06 06:57:00,2024-01-06 07:05:00,+00:08,EN_Lot_1,2024-01-06 17:24:00,2024-01-06 17:12:00,-00:11,EN
1843,EN,7734,B83,Q56-462,753156,,2024-01-06 17:18:00,2024-01-06 17:35:00,+00:17,EN,2024-01-06 20:08:00,2024-01-07 00:46:00,+04:38,EN
1844,EN,7734,,B65-870,44962,,2024-01-06 20:38:00,,,,2024-01-07 00:38:00,,,
1845,EN,7735,Q24,Q24-421,289041,,2024-01-06 14:18:00,2024-01-06 14:23:00,+00:05,EN,2024-01-06 19:07:00,2024-01-06 19:10:00,+00:03,EN
1846,EN,7735,Q56,Q24-421,289041,,2024-01-06 19:58:00,2024-01-06 20:00:00,+00:02,EN,2024-01-06 23:42:00,2024-01-06 22:05:00,-01:36,EN
1847,EN,7736,,B17-773,44532,,2024-01-06 18:48:00,2024-01-06 19:38:00,-23:09,EN,2024-01-06 23:55:00,2024-01-06 23:45:00,-00:09,EN
1848,EN,7736,B15,B15-107,744009,,2024-01-06 03:20:00,2024-01-06 03:21:00,+00:01,EN,2024-01-06 07:03:00,2024-01-06 14:04:00,+07:01,EN
1849,EN,7736,,B15-107,744009,,2024-01-06 08:01:00,,,,2024-01-06 14:07:00,,,
1850,EN,7736,B65,B65-867,47152,,2024-01-06 14:14:00,2024-01-06 14:19:00,+00:05,EN,2024-01-06 17:36:00,2024-01-06 18:16:00,+00:40,EN
1853,EN,7737,Q24,Q24-409,39409,,2024-01-06 07:26:00,2024-01-06 07:09:00,-00:16,EN_Lot_1,2024-01-06 19:48:00,2024-01-07 00:02:00,+04:14,EN
1854,EN,7737,,Q24-422,47136,,2024-01-06 20:47:00,,,,2024-01-06 23:59:00,,,
1856,EN,7779,,B12-7,123000,,2024-01-06 04:49:00,,,,2024-01-07 01:52:00,,,
1857,EN,7780,,B15-116,40922,,2024-01-06 05:27:00,2024-01-06 00:23:00,-05:03,EN,2024-01-06 12:57:00,2024-01-06 13:18:00,+00:21,EN
1858,EN,7780,M125,B65-866,437030,,2024-01-06 13:26:00,2024-01-06 13:37:00,+00:11,EN,2024-01-06 16:48:00,2024-01-06 16:51:00,+00:03,EN
1859,EN,7780,B15,B15-133,937044,,2024-01-06 16:43:00,2024-01-06 17:11:00,+00:28,EN,2024-01-06 20:57:00,2024-01-06 20:53:00,-00:03,EN
1860,EN,7780,B15,B15-154,46357,,2024-01-06 21:11:00,2024-01-06 21:30:00,+00:19,EN,2024-01-07 00:19:00,2024-01-07 00:50:00,+00:31,EN
1861,EN,7781,,B17-759,904014,,2024-01-06 11:00:00,2024-01-06 23:51:00,-11:08,EN,2024-01-06 14:17:00,2024-01-07 14:22:00,+00:05,EN
1862,EN,7781,B83,Q56-459,40233,,2024-01-06 14:32:00,2024-01-06 14:37:00,+00:05,EN,2024-01-06 18:56:00,2024-01-06 19:18:00,+00:22,EN
1864,EN,7782,B14,B14-701,706012,,2024-01-06 01:04:00,2024-01-06 00:52:00,-00:11,EN,2024-01-06 06:10:00,2024-01-06 09:06:00,+02:56,EN
1865,EN,7782,,B14-701,706012,,2024-01-06 07:20:00,,,,2024-01-06 09:08:00,,,
1866,EN,7782,B45,B45-807,354075,,2024-01-06 09:32:00,2024-01-06 09:35:00,+00:03,EN,2024-01-06 12:57:00,2024-01-06 13:07:00,+00:10,EN
1867,EN,7782,B65,B65-865,45115,,2024-01-06 13:08:00,2024-01-06 13:15:00,+00:07,EN,2024-01-06 17:09:00,2024-01-06 22:16:00,+05:07,EN
1868,EN,7782,,B65-865,45115,,2024-01-06 17:50:00,,,,2024-01-06 22:24:00,,,
1869,EN,7783,,B25-204,322047,,2024-01-06 04:49:00,2024-01-06 02:11:00,-02:37,EN,2024-01-06 19:18:00,2024-01-06 19:13:00,-00:04,EN
1870,EN,7783,B65,B65-867,47152,,2024-01-06 18:26:00,2024-01-06 19:41:00,+01:15,EN,2024-01-06 22:58:00,2024-01-06 23:06:00,+00:08,EN
1873,EN,7784,,B17-758,397118,,2024-01-06 05:38:00,,,,2024-01-06 10:46:00,,,
1874,EN,7784,,B15-131,41907,,2024-01-06 11:50:00,,,,2024-01-06 16:16:00,,,
1876,EN,7785,,B12-5,298029,,2024-01-06 08:03:00,2024-01-06 03:03:00,-04:59,EN,2024-01-06 17:50:00,2024-01-06 17:48:00,-00:01,EN
1877,EN,7785,,B12-5,298029,,2024-01-06 04:22:00,,,,2024-01-06 07:11:00,,,
1878,EN,7786,,B25-205,127132,,2024-01-06 05:34:00,,,,2024-01-06 09:32:00,,,
1879,EN,7786,,B65-863,40260,,2024-01-06 10:16:00,,,,2024-01-06 13:36:00,,,
1880,EN,7786,,B65-863,40260,,2024-01-06 14:26:00,,,,2024-01-06 19:19:00,,,
1881,EN,7787,,B82-613,78053,,2024-01-06 06:05:00,,,,2024-01-06 15:56:00,,,
1882,EN,7788,,Q24-401,605011,,2024-01-06 01:00:00,,,,2024-01-06 05:57:00,,,
1883,EN,7788,Q56,Q24-401,605011,,2024-01-06 06:39:00,,,,2024-01-06 15:18:00,2024-01-06 15:56:00,+00:38,EN
1884,EN,7788,B12,B15-157,335057,,2024-01-06 16:05:00,2024-01-06 16:09:00,+00:04,EN,2024-01-06 21:07:00,2024-01-06 21:38:00,+00:31,EN
1885,EN,7790,,B25-203,334098,,2024-01-06 04:35:00,2024-01-06 02:45:00,-01:49,EN,2024-01-06 08:25:00,2024-01-06 09:11:00,+00:46,EN
1886,EN,7790,B17,B14-709,46885,,2024-01-06 10:18:00,2024-01-06 09:57:00,-00:20,EN,2024-01-06 13:32:00,,,
1887,EN,7790,,B14-709,46885,,2024-01-06 14:15:00,,,,2024-01-06 19:29:00,,,
1888,EN,7791,,B83-304,41834,,2024-01-06 07:54:00,2024-01-06 19:57:00,-11:56,EN,2024-01-06 23:07:00,2024-01-07 00:06:00,+00:59,EN
1890,EN,7792,,B15-134,304194,,2024-01-06 20:23:00,2024-01-06 19:45:00,-00:37,EN,2024-01-06 23:29:00,2024-01-06 23:50:00,+00:21,EN
1891,EN,7792,,B45-807,354075,,2024-01-06 13:50:00,,,,2024-01-06 17:12:00,,,
1892,EN,7792,,B15-147,598103,,2024-01-06 17:38:00,,,,2024-01-06 19:40:00,,,
1895,EN,7794,B17,B14-711,397260,,2024-01-06 14:02:00,2024-01-06 14:12:00,+00:10,EN_Lot_1,2024-01-06 18:02:00,2024-01-06 18:42:00,+00:40,EN
1897,EN,7795,,B17-770,46892,,2024-01-06 13:50:00,2024-01-06 14:17:00,+00:27,EN_Lot_1,2024-01-06 16:09:00,2024-01-06 16:10:00,+00:01,EN
1898,EN,7795,B14,B14-715,223057,,2024-01-06 16:14:00,2024-01-06 16:18:00,+00:04,EN,2024-01-06 21:10:00,2024-01-06 21:26:00,+00:16,EN
1899,EN,7795,,B15-148,245047,,2024-01-06 20:39:00,,,,2024-01-06 23:49:00,,,
1901,EN,7796,B83,B83-302,36593,,2024-01-06 06:05:00,2024-01-06 05:56:00,-00:08,EN_Lot_1,2024-01-06 10:25:00,2024-01-06 07:20:00,-03:04,EN
1903,EN,7796,Q56,Q56-461,385087,,2024-01-06 10:44:00,2024-01-06 10:49:00,+00:05,EN,2024-01-06 15:00:00,2024-01-06 12:50:00,-02:09,EN
1905,EN,7796,Q56,B15-132,47414,,2024-01-06 15:19:00,2024-01-06 15:12:00,-00:06,EN,2024-01-06 19:51:00,2024-01-06 19:51:00,+00:00,EN
1907,EN,7797,,B82-605,139003,,2024-01-06 04:24:00,2024-01-06 02:57:00,-01:26,EN,2024-01-06 23:53:00,2024-01-07 00:13:00,+00:20,EN
1908,EN,7798,,B15-119,65028,,2024-01-06 06:06:00,2024-01-06 01:25:00,-04:40,EN,2024-01-06 18:51:00,2024-01-06 19:12:00,+00:21,EN
1909,EN,7798,B15,B15-161,47082,,2024-01-06 19:11:00,2024-01-06 19:23:00,+00:12,EN,2024-01-06 22:33:00,2024-01-07 03:39:00,+05:06,EN
1910,EN,7798,,B15-161,47082,,2024-01-06 23:32:00,,,,2024-01-07 03:47:00,,,
1911,EN,7800,,B82-603,928006,,2024-01-06 03:39:00,2024-01-06 02:56:00,-00:42,EN,2024-01-06 12:30:00,2024-01-06 12:27:00,-00:02,EN
1912,EN,7800,,B25-209,42382,,2024-01-06 12:08:00,2024-01-06 12:37:00,+00:29,EN,2024-01-06 19:02:00,2024-01-06 18:52:00,-00:09,EN
1913,EN,7801,,B17-755,32142,,2024-01-06 05:12:00,,,,2024-01-06 10:56:00,,,
1914,EN,7801,B17,B14-704,45406,,2024-01-06 11:21:00,2024-01-06 11:11:00,-00:09,EN,2024-01-06 14:57:00,2024-01-07 00:52:00,+09:55,EN
1915,EN,7801,,B65-869,688003,,2024-01-06 15:14:00,,,,2024-01-06 18:36:00,,,
1916,EN,7801,,B65-869,688003,,2024-01-06 19:14:00,,,,2024-01-06 20:48:00,,,
1917,EN,7801,,B65-869,688003,,2024-01-06 21:57:00,,,,2024-01-07 00:57:00,,,
1920,EN,7890,,Q24-416,44612,,2024-01-06 12:39:00,2024-01-06 12:26:00,-00:12,EN,2024-01-06 17:44:00,2024-01-06 17:47:00,+00:03,EN
1922,EN,78901,,B17-772,123138,,2024-01-06 17:40:00,,,,2024-01-06 19:25:00,,,
1923,EN,7891,,B82-619,44519,,2024-01-06 06:51:00,2024-01-06 21:39:00,-09:11,EN,2024-01-06 10:19:00,2024-01-07 10:10:00,-00:08,EN
1924,EN,7891,B25,B25-205,127132,,2024-01-06 10:22:00,2024-01-06 10:31:00,+00:09,EN,2024-01-07 01:04:00,2024-01-07 01:10:00,+00:06,EN
1926,EN,7892,B82,B82-601,110413,,2024-01-06 23:44:00,2024-01-06 23:17:00,-00:26,EN,2024-01-07 04:43:00,2024-01-07 08:58:00,+04:15,EN
1927,EN,7892,,B82-601,110413,,2024-01-06 05:24:00,,,,2024-01-06 08:31:00,,,
1928,EN,7892,,B83-305,13143,,2024-01-06 09:20:00,2024-01-06 09:17:00,-00:02,EN,2024-01-06 13:36:00,2024-01-06 13:38:00,+00:02,EN
1929,EN,7892,B83,B12-13,407024,,2024-01-06 13:38:00,2024-01-06 13:40:00,+00:02,EN,2024-01-06 16:34:00,2024-01-06 21:39:00,+05:05,EN
1930,EN,7892,,B83-312,210222,,2024-01-06 16:38:00,,,,2024-01-06 21:00:00,,,
1931,EN,7892,,B42-507,216025,,2024-01-06 21:54:00,,,,2024-01-07 00:48:00,,,
1932,EN,7893,,B17-764,45322,,2024-01-06 08:45:00,2024-01-06 00:02:00,-08:42,EN,2024-01-06 14:12:00,2024-01-06 14:16:00,+00:04,EN
1933,EN,7893,B14,B17-764,45322,,2024-01-06 15:02:00,2024-01-06 14:34:00,-00:27,EN,2024-01-06 17:21:00,2024-01-06 17:30:00,+00:09,EN
1934,EN,7894,,B15-118,45993,,2024-01-06 05:54:00,2024-01-06 00:49:00,-05:04,EN,2024-01-06 18:38:00,2024-01-06 18:32:00,-00:05,EN
1935,EN,7894,,B17-759,904014,,2024-01-06 05:46:00,,,,2024-01-06 10:14:00,,,
1936,EN,7894,Q56,B15-141,45356,,2024-01-06 18:38:00,2024-01-06 19:12:00,+00:34,EN,2024-01-06 22:27:00,2024-01-07 01:29:00,+03:02,EN
1937,EN,7894,,B14-714,80016,,2024-01-06 21:50:00,,,,2024-01-07 01:10:00,,,
1938,EN,7895,Q56,B25-208,513668,,2024-01-06 06:53:00,2024-01-06 06:59:00,+00:06,EN_Lot_1,2024-01-06 10:48:00,2024-01-06 20:34:00,+09:46,EN
1939,EN,7895,,B25-208,513668,,2024-01-06 11:38:00,,,,2024-01-06 20:35:00,,,
1940,EN,7896,B15,B15-105,334109,,2024-01-06 02:50:00,2024-01-06 02:49:00,-00:00,EN,2024-01-06 11:24:00,2024-01-06 11:34:00,+00:10,EN
1941,EN,7896,B82,B82-620,127040,,2024-01-06 11:56:00,2024-01-06 11:59:00,+00:03,EN,2024-01-06 18:57:00,2024-01-06 19:10:00,+00:13,EN
1943,EN,7897,,B82-610,605034,,2024-01-06 05:39:00,,,,2024-01-06 15:16:00,,,
1945,EN,7897,,B82-634,39445,,2024-01-06 18:37:00,,,,2024-01-06 22:05:00,,,
1947,EN,7900,M14D+,B14-707,436123,,2024-01-06 09:20:00,2024-01-06 09:23:00,+00:03,EN,2024-01-06 13:33:00,2024-01-06 13:24:00,-00:08,EN
1948,EN,7900,,B45-810,179025,,2024-01-06 13:32:00,2024-01-06 13:41:00,+00:09,EN,2024-01-06 19:19:00,2024-01-06 19:23:00,+00:04,EN
1949,EN,7900,B14,B14-711,397260,,2024-01-06 18:50:00,2024-01-06 19:39:00,+00:49,EN,2024-01-06 23:19:00,2024-01-06 23:34:00,+00:15,EN
1950,EN,7901,,B25-202,46457,,2024-01-06 04:29:00,2024-01-06 02:26:00,-02:02,EN,2024-01-06 16:33:00,2024-01-06 16:48:00,+00:15,EN
1951,EN,7901,,B15-130,45065,,2024-01-06 16:01:00,2024-01-06 16:54:00,+00:53,EN,2024-01-06 20:48:00,2024-01-06 23:52:00,+03:04,EN
1952,EN,7901,,B17-772,123138,,2024-01-06 20:50:00,,,,2024-01-06 23:41:00,,,
1955,EN,7902,B82,B83-311,276043,,2024-01-06 16:28:00,2024-01-06 16:43:00,+00:15,EN,2024-01-06 22:12:00,2024-01-06 22:52:00,+00:40,EN
1956,EN,7903,,B82-604,245501,,2024-01-06 04:04:00,,,,2024-01-07 01:43:00,,,
1957,EN,7904,,B15-108,509033,,2024-01-06 04:04:00,2024-01-06 04:03:00,-00:00,EN,2024-01-06 09:17:00,2024-01-06 09:46:00,+00:29,EN
1958,EN,7904,B83,Q56-460,45853,,2024-01-06 09:50:00,2024-01-06 09:57:00,+00:07,EN,2024-01-06 14:00:00,2024-01-06 13:56:00,-00:03,EN
1959,EN,7904,B17,B17-771,463056,,2024-01-06 14:08:00,2024-01-06 14:11:00,+00:03,EN,2024-01-06 17:20:00,2024-01-07 03:04:00,+09:44,EN
1960,EN,7904,,B17-771,463056,,2024-01-06 18:06:00,,,,2024-01-06 23:19:00,,,
1961,EN,7904,,B25-237,284103,,2024-01-06 22:49:00,,,,2024-01-07 01:57:00,,,
1962,EN,7906,,B65-854,33574,,2024-01-06 05:28:00,,,,2024-01-06 09:51:00,,,
1963,EN,7906,B65,B65-854,33574,,2024-01-06 10:52:00,,,,2024-01-06 14:12:00,2024-01-06 14:13:00,+00:01,EN
1964,EN,7906,B83,B83-308,605127,,2024-01-06 14:08:00,2024-01-06 14:37:00,+00:29,EN,2024-01-06 17:04:00,2024-01-06 17:03:00,-00:00,EN
1965,EN,7906,B65,B65-873,47875,,2024-01-06 17:02:00,2024-01-06 17:13:00,+00:11,EN,2024-01-06 21:48:00,2024-01-06 23:12:00,+01:24,EN
1966,EN,7907,,B45-811,45033,,2024-01-06 18:27:00,2024-01-06 20:04:00,-22:22,EN,2024-01-06 21:56:00,2024-01-06 20:56:00,-00:59,EN_Lot_1
1967,EN,7907,,B65-858,426094,,2024-01-06 07:32:00,,,,2024-01-06 10:52:00,,,
1968,EN,7907,,B45-811,45033,,2024-01-06 13:44:00,2024-01-06 14:06:00,+00:22,EN_Lot_1,2024-01-06 17:45:00,2024-01-06 22:31:00,+04:46,EN
1970,EN,7908,,B15-112,41567,,2024-01-06 04:38:00,2024-01-06 02:33:00,-02:04,EN,2024-01-06 14:10:00,2024-01-06 14:28:00,+00:18,EN
1971,EN,7908,B25,B15-148,245047,,2024-01-06 14:41:00,2024-01-06 14:31:00,-00:09,EN,2024-01-06 19:43:00,2024-01-06 19:36:00,-00:06,EN
1973,EN,7909,,B17-767,44540,,2024-01-06 16:58:00,2024-01-06 21:49:00,-19:08,EN,2024-01-06 22:16:00,2024-01-06 21:50:00,-00:25,EN_Lot_1
1974,EN,7909,B65,B65-857,463013,,2024-01-06 07:28:00,2024-01-06 07:34:00,+00:06,EN_Lot_1,2024-01-06 12:09:00,2024-01-06 12:13:00,+00:04,EN
1975,EN,7909,,B17-767,44540,,2024-01-06 13:00:00,2024-01-06 12:15:00,-00:44,EN,2024-01-06 16:12:00,2024-01-06 16:14:00,+00:02,EN
1978,EN,7910,,Q24-404,825008,,2024-01-06 04:48:00,2024-01-06 04:45:00,-00:02,EN,2024-01-06 09:12:00,2024-01-06 09:11:00,-00:00,EN
