,UTS Depot,Bus,Route,Run,Operator,Unscheduled PO ,Scheduled PO,Actual PO,PO Diff,PO Depot ,Scheduled PI,Actual PI,PI diff,Depot PI
6487,MV,9449,M2,M02-212,308031,,2024-01-06 08:07:00,2024-01-06 08:19:00,+00:12,MV,2024-01-06 23:24:00,,,
6488,MV,9452,,M05-521,46718,,2024-01-06 08:54:00,,,,2024-01-06 23:36:00,,,
6490,MV,9453,,M104-114,45452,,2024-01-06 08:54:00,,,,2024-01-07 00:50:00,,,
6496,MV,9454,M104,M104-104,33186,,2024-01-06 06:02:00,2024-01-06 06:07:00,+00:05,AM,2024-01-07 01:42:00,2024-01-06 07:29:00,-18:12,AM
6505,MV,9455,,M02-205,254151,,2024-01-06 06:16:00,,,,2024-01-07 02:22:00,,,
6506,MV,9456,,M02-208,44422,,2024-01-06 07:16:00,,,,2024-01-06 19:23:00,,,
6508,MV,9457,M104,M104-109,40283,,2024-01-06 08:09:00,2024-01-06 10:28:00,+02:19,AM,2024-01-06 19:54:00,2024-01-06 12:33:00,-07:20,AM
6513,MV,9458,M2,M02-202,144085,,2024-01-06 01:37:00,2024-01-06 01:37:00,+00:00,MV,2024-01-06 08:45:00,,,
6514,MV,9460,,M03-309,40744,,2024-01-06 07:04:00,,,,2024-01-06 20:12:00,,,
6516,MV,9461,M4,M04-433,46262,,2024-01-06 11:50:00,2024-01-06 12:01:00,+00:11,MV,2024-01-06 20:21:00,,,
6517,MV,9591,,M96-802,27304,,2024-01-06 09:08:00,,,,2024-01-06 20:57:00,,,
6518,MV,9592,,M10-2,36942,,2024-01-06 05:40:00,,,,2024-01-06 17:03:00,,,
6520,MV,9594,M4,M04-402,928064,,2024-01-06 05:47:00,2024-01-06 05:50:00,+00:03,MV,2024-01-06 19:49:00,,,
6521,MV,9595,,M03-317,46686,,2024-01-06 08:35:00,,,,2024-01-06 22:00:00,,,
6523,MV,9597,M66,M66-963,46884,,2024-01-06 11:19:00,2024-01-06 11:35:00,+00:16,MV,2024-01-07 00:50:00,,,
6524,MV,9599,,M116-715,45150,,2024-01-06 14:16:00,,,,2024-01-07 01:55:00,,,
6526,MV,9600,M104,M104-115,189091,,2024-01-06 09:02:00,2024-01-06 09:14:00,+00:12,AM,2024-01-06 23:07:00,,,
6527,MV,9601,,M11-603,428089,,2024-01-06 05:38:00,,,,2024-01-06 18:46:00,,,
6528,MV,9603,,M05-501,101000,,2024-01-06 10:44:00,,,,2024-01-06 16:53:00,,,
6530,MV,9604,M4,M02-217,46064,,2024-01-06 09:38:00,2024-01-06 09:43:00,+00:05,MV,2024-01-06 22:18:00,,,
6532,MV,9605,M3,M03-323,752041,,2024-01-06 09:51:00,2024-01-06 09:57:00,+00:06,MV,2024-01-06 23:27:00,,,
6534,MV,9606,M104,M104-116,44841,,2024-01-06 09:19:00,2024-01-06 11:53:00,+02:34,AM,2024-01-06 23:18:00,2024-01-06 16:19:00,-06:58,AM
6537,MV,9607,,M03-327,46146,,2024-01-06 10:24:00,,,,2024-01-06 23:42:00,,,
6538,MV,9609,,M11-606,43350,,2024-01-06 06:18:00,,,,2024-01-06 17:01:00,,,
6540,MV,9610,M104,M104-120,879026,,2024-01-06 10:44:00,2024-01-06 10:39:00,-00:04,MV,2024-01-06 22:35:00,2024-01-06 15:22:00,-07:12,AM
6543,MV,9611,M66,M66-951,25979,,2024-01-06 04:20:00,2024-01-06 04:12:00,-00:07,MV,2024-01-07 00:28:00,2024-01-06 15:14:00,-09:13,AM
6545,MV,9612,,M04-411,184032,,2024-01-06 07:35:00,,,,2024-01-06 21:44:00,,,
6547,MV,9615,M104,M104-102,33533,,2024-01-06 00:02:00,2024-01-06 01:51:00,+01:49,AM,2024-01-06 08:43:00,2024-01-06 03:02:00,-05:40,AM
6551,MV,9615,,M11-614,674141,,2024-01-06 09:09:00,,,,2024-01-06 17:47:00,,,
